Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C1,128.45,72.25,B,90
C2,119.4513,86.2895,T,0
C3,116.75,77.4,T,270
C4,116.05,69.25,T,90
C5,117.8,68.1,B,180
C6,115.25,67.5,T,0
C7,120.6197,72.0345,T,0
C8,131.0775,83.5259,T,270
C9,137,67.6,T,180
C10,117.55,88,T,0
C11,117.7771,89.477,T,270
C12,127.75,71.55,T,180
C13,116.3725,82.463,T,0
C14,129.603,71.5845,T,90
C15,114.8955,81.373,T,270
C16,111.2199,77.922,T,0
C17,125.3655,79.6045,B,270
C18,126.55,79.8,B,270
C19,137.637,71.7678,T,90
C20,143.5,74.575,T,90
C21,116.3725,78.9938,T,0
D1,114.05,76.95,T,0
D2,135.968,75.5669,T,90
D3,134.75,75.7,B,180
D4,135.55,70.7633,T,270
D5,110.55,68.1,T,270
D6,133.7,85.1,T,270
D7,134.75,89.2,T,270
IC1,134.5,81,T,0
IC2,123.95,79.162,T,0
J3,140.8225,81,T,90
P1,130.25,93.6375,B,0
R1,122.75,89.85,T,270
R2,123.65,89.85,T,270
R3,120,68.25,T,270
R4,115.7068,75.046,T,0
R5,115.7068,75.873,T,0
R6,126.123,69.15,T,90
R7,126.95,69.15,T,90
R8,131.6,79.75,T,180
R9,129.7,80.6,B,180
R10,140.75,79.75,B,180
R11,121.9967,71.46,T,90
R12,131.1,75.95,T,90
R13,123.6507,71.4506,T,90
R14,132.15,75.95,T,90
R15,140.75,82.8,B,180
R16,122.8237,71.4473,T,90
R17,124.469,69.15,T,90
R18,125.296,69.15,T,90
R19,121.15,87.6,T,90
R20,120.35,89.7,B,90
R21,111.95,76.15,T,90
R22,115.9,73.55,T,270
R23,113.2,67.6,T,270
R24,114.8,73.55,T,90
R25,113.6,69,T,180
R26,125.6,86.85,T,270
R27,129.5,74.3,B,270
R28,124.7155,86.7162,T,270
R29,129.65,78.95,B,0
R30,127.8,86.3,T,180
R31,126.45,87.55,T,270
R32,132.3,78.5,T,180
R34,117.1525,86.6145,T,90
R35,127.75,83.25,B,0
R36,127.55,75.95,B,0
R37,128.8,87.8,T,90
R38,126.498,84.3079,B,270
R39,122.25,87.4,T,270
R40,111.95,68.05,T,90
R41,135.35,85.05,T,90
R42,136.05,89.25,T,90
R43,124.7,89.15,T,90
R44,116.4975,80.3585,T,0
S1,113.9032,86.615,T,270
U1,118,69.25,T,270
U2,119.45,89.2,T,90
U3,140.5,72.35,T,90
Y1,112.4435,80.024,T,180
J26,118.3716,79.2738,BottomLayer,90
